"country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"St.Lucia",1970,57.5,62.47,6.1,104162,NA,"Americas","Caribbean"
"St.VincentandtheGrenadines",1970,58.6,64.84,6.01,90457,125061108,"Americas","Caribbean"
"Samoa",1970,73,57.33,7.19,143175,NA,"Oceania","Polynesia"
"SaudiArabia",1970,118,55.65,7.28,5836394,44074095962,"Asia","WesternAsia"
"Senegal",1970,121.7,39.59,7.34,4217754,2266115562,"Africa","WesternAfrica"
"Serbia",1970,NA,68.34,2.38,8119861,NA,"Europe","SouthernEurope"
"Seychelles",1970,54.1,64.62,5.76,52364,141888524.4,"Africa","EasternAfrica"
"SierraLeone",1970,191,43.15,6.7,2514151,739785783.7,"Africa","WesternAfrica"
"Singapore",1970,22,67.4,3.19,2074071,9603756795,"Asia","South-EasternAsia"
"SlovakRepublic",1970,25,69.84,2.5,4531874,NA,"Europe","EasternEurope"
"Slovenia",1970,25,69.32,2.27,1669583,NA,"Europe","SouthernEurope"
"SolomonIslands",1970,76.5,56.31,6.91,160292,NA,"Oceania","Melanesia"
"SouthAfrica",1970,NA,52.77,5.59,22502502,68558449204,"Africa","SouthernAfrica"
"Spain",1970,25.5,72.19,2.87,33923240,230977558793,"Europe","SouthernEurope"
"SriLanka",1970,53.6,64.69,4.34,12487493,4235134591,"Asia","SouthernAsia"
"Sudan",1970,94.7,54.26,6.89,10232758,3901968151,"Africa","NorthernAfrica"
"Suriname",1970,NA,64.66,5.65,371268,NA,"Americas","SouthAmerica"
"Swaziland",1970,119.3,48.79,6.88,445844,257078585.9,"Africa","SouthernAfrica"
"Sweden",1970,11.3,74.66,1.92,8049049,133277251110,"Europe","NorthernEurope"
"Switzerland",1970,15,73.18,2.12,6169357,NA,"Europe","WesternEurope"
"Syria",1970,75.3,59.31,7.57,6378802,3678653011,"Asia","WesternAsia"
"Tajikistan",1970,108,61.55,6.88,2919586,NA,"Asia","CentralAsia"
"Tanzania",1970,127.6,49.53,6.77,13605504,NA,"Africa","EasternAfrica"
"Thailand",1970,71.8,59.86,5.6,36884914,19204716561,"Asia","South-EasternAsia"
"Timor-Leste",1970,NA,45.56,5.92,602737,NA,"Asia","South-EasternAsia"
"Togo",1970,132.8,47.72,7.08,2115521,618863062.9,"Africa","WesternAfrica"
"Tonga",1970,39.6,64.58,5.94,84370,NA,"Oceania","Polynesia"
"TrinidadandTobago",1970,43.9,65.73,3.55,945996,4480022976,"Americas","Caribbean"
"Tunisia",1970,122.2,52.94,6.44,5060393,4688590613,"Africa","NorthernAfrica"
"Turkey",1970,126.2,54.59,5.56,34772031,75217752385,"Asia","WesternAsia"
"Turkmenistan",1970,NA,59.15,6.3,2188499,NA,"Asia","CentralAsia"
"Uganda",1970,113.5,50.74,7.12,9446024,NA,"Africa","EasternAfrica"
"Ukraine",1970,27.96180937,70.59,2.05,47086758,NA,"Europe","EasternEurope"
"UnitedArabEmirates",1970,70.9,61.08,6.61,235434,NA,"Asia","WesternAsia"
"UnitedKingdom",1970,18,71.89,2.29,55611401,698034860534,"Europe","NorthernEurope"
"UnitedStates",1970,19.9,70.92,2.46,209485807,3737876871510,"Americas","NorthernAmerica"
"Uruguay",1970,48.6,68.88,2.9,2809799,12168941584,"Americas","SouthAmerica"
"Uzbekistan",1970,NA,63.54,6.49,11972994,NA,"Asia","CentralAsia"
"Vanuatu",1970,77.5,51.67,6.27,85388,NA,"Oceania","Melanesia"
"Venezuela",1970,48.1,65.8,5.4,11587758,67317250051,"Americas","SouthAmerica"
"WestBankandGaza",1970,NA,57.97,7.86,1124843,NA,"Asia","WesternAsia"
"Vietnam",1970,56.4,58.78,6.47,43407291,NA,"Asia","South-EasternAsia"
"Yemen",1970,221.1,41.55,7.54,6156234,NA,"Asia","WesternAsia"
"Zambia",1970,109.3,53.88,7.44,4185378,2384401746,"Africa","EasternAfrica"
"Zimbabwe",1970,72.4,57.22,7.42,5206311,2682438620,"Africa","EasternAfrica"
"Albania",1980,64,71.39,3.68,2681245,2833406779,"Europe","SouthernEurope"
"Algeria",1980,101.1,60.92,6.89,19337723,35291232178,"Africa","NorthernAfrica"
"Angola",1980,138.3,46.14,7.2,8211950,NA,"Africa","MiddleAfrica"
"AntiguaandBarbuda",1980,NA,70.59,2.12,70301,325800872.8,"Americas","Caribbean"
"Argentina",1980,37.2,70.2,3.33,28105889,212127318774,"Americas","SouthAmerica"
"Armenia",1980,61.3,72.72,2.39,3096298,NA,"Asia","WesternAsia"
"Aruba",1980,NA,72.29,2.39,60096,NA,"Americas","Caribbean"
"Australia",1980,10.8,74.56,1.89,14708323,213135433499,"Oceania","AustraliaandNewZealand"
"Austria",1980,13.9,72.64,1.65,7597269,118297013218,"Europe","WesternEurope"
"Azerbaijan",1980,95,65.55,3.29,6163990,NA,"Asia","WesternAsia"
"Bahamas",1980,25.2,66.75,2.99,210660,3781200313,"Americas","Caribbean"
"Bahrain",1980,26.8,69.09,4.92,359902,3983298875,"Asia","WesternAsia"
"Bangladesh",1980,133.7,53.18,6.36,81364176,20461050013,"Asia","SouthernAsia"
"Barbados",1980,23.8,69.91,2,252197,1955993039,"Americas","Caribbean"
"Belarus",1980,19.4,70.57,2.08,9654455,NA,"Europe","EasternEurope"
"Belgium",1980,12.2,73.18,1.63,9855747,153064887077,"Europe","WesternEurope"
"Belize",1980,50.5,69.78,5.85,144151,289162816,"Americas","CentralAmerica"
"Benin",1980,128.7,49.34,7.03,3718024,1084256208,"Africa","WesternAfrica"
"Bhutan",1980,134.3,52.12,6.55,412561,NA,"Asia","SouthernAsia"
"Bolivia",1980,112.3,54.21,5.52,5589572,5732694165,"Americas","SouthAmerica"
"BosniaandHerzegovina",1980,30.7,74.82,2.09,4144726,NA,"Europe","SouthernEurope"
"Botswana",1980,54.7,60.24,6.22,996331,1149554148,"Africa","SouthernAfrica"
"Brazil",1980,75.9,63.81,4.07,122199721,430378734063,"Americas","SouthAmerica"
"Brunei",1980,19,70.95,4.25,193057,5774494578,"Asia","South-EasternAsia"
"Bulgaria",1980,24.5,71.17,2.11,8865235,11464296023,"Europe","EasternEurope"
"BurkinaFaso",1980,117.6,47.61,7.13,6822840,1100637952,"Africa","WesternAfrica"
"Burundi",1980,131.1,45.93,7.45,4126544,658995547.9,"Africa","EasternAfrica"
"Cambodia",1980,117.3,28.16,5.69,6718241,NA,"Asia","South-EasternAsia"
"Cameroon",1980,109.2,55.06,6.61,8932121,6338843529,"Africa","MiddleAfrica"
"Canada",1980,10.3,75.05,1.68,24515788,411965674557,"Americas","NorthernAmerica"
"CapeVerde",1980,62.6,62.41,6.38,285599,168002515.5,"Africa","WesternAfrica"
"CentralAfricanRepublic",1980,118.4,50.61,5.95,2274095,735280403.1,"Africa","MiddleAfrica"
"Chad",1980,126.6,50.56,6.96,4512795,664885432.3,"Africa","MiddleAfrica"
"Chile",1980,28.2,68.7,2.68,11234340,27950035375,"Americas","SouthAmerica"
"China",1980,48,63.92,2.32,977837433,182941120439,"Asia","EasternAsia"
"Colombia",1980,44.6,68.07,3.99,27737905,54283406011,"Americas","SouthAmerica"
"Comoros",1980,119,53.15,7.13,308518,135611414.1,"Africa","EasternAfrica"
"CongoDem.Rep.",1980,132,51.76,6.59,26357407,7015838700,"Africa","MiddleAfrica"
"CongoRep.",1980,71.2,55.45,6.18,1801688,1746408548,"Africa","MiddleAfrica"
"CostaRica",1980,19.8,73.2,3.62,2389309,7473020531,"Americas","CentralAmerica"
"Coted'Ivoire",1980,113.7,52.87,7.6,8265549,7727415010,"Africa","WesternAfrica"
"Croatia",1980,20,70.56,2,4598126,NA,"Europe","SouthernEurope"
"Cuba",1980,16.7,73.84,1.89,9835177,23660001783,"Americas","Caribbean"
"Cyprus",1980,19.4,74.99,2.35,685406,3383419767,"Asia","WesternAsia"
"CzechRepublic",1980,17,70.67,2.18,10337827,NA,"Europe","EasternEurope"
"Denmark",1980,8.3,74.3,1.55,5123435,100879727996,"Europe","NorthernEurope"
"Djibouti",1980,118.1,57.1,6.44,358960,NA,"Africa","EasternAfrica"
"DominicanRepublic",1980,64,66.12,4.42,5809271,10534042898,"Americas","Caribbean"
"Ecuador",1980,68.1,64.82,4.74,7976449,10882444171,"Americas","SouthAmerica"
"Egypt",1980,114.3,58.85,5.37,43369552,38506344422,"Africa","NorthernAfrica"
"ElSalvador",1980,78.8,57.96,5.14,4577683,8703848680,"Americas","CentralAmerica"
"EquatorialGuinea",1980,NA,44.85,5.73,220605,NA,"Africa","MiddleAfrica"
"Eritrea",1980,114.2,46.66,6.63,2383858,NA,"Africa","EasternAfrica"
"Estonia",1980,22.4,69.75,2.06,1474487,NA,"Europe","NorthernEurope"
"Ethiopia",1980,142.8,42.8,7.32,35239974,NA,"Africa","EasternAfrica"
"Fiji",1980,35.3,62.65,3.91,635256,1164866035,"Oceania","Melanesia"
"Finland",1980,7.2,73.71,1.63,4779454,73475216510,"Europe","NorthernEurope"
"France",1980,10.2,74.53,1.83,54053224,862905694751,"Europe","WesternEurope"
"FrenchPolynesia",1980,NA,64.56,3.99,151702,1564521691,"Oceania","Polynesia"
"Gabon",1980,74.2,53.42,5.68,729165,3594320286,"Africa","MiddleAfrica"
"Gambia",1980,103.2,53.61,6.34,604371,398967950.1,"Africa","WesternAfrica"
"Georgia",1980,49,69.4,2.32,5073241,8474279303,"Asia","WesternAsia"
"Germany",1980,12.6,73.14,1.47,78159527,1236857362256,"Europe","WesternEurope"
"Ghana",1980,100.9,53.26,6.54,10802025,2639865251,"Africa","WesternAfrica"
"Greece",1980,21.3,74.01,2.17,9620274,92180659096,"Europe","SouthernEurope"
"Greenland",1980,NA,63.09,2.44,50176,814911202.6,"Americas","NorthernAmerica"
"Grenada",1980,NA,67.6,4.25,89004,201805408.6,"Americas","Caribbean"
"Guatemala",1980,87.7,59.12,6.18,7118628,11814414541,"Americas","CentralAmerica"
"Guinea",1980,170.2,42.92,6.53,4506559,NA,"Africa","WesternAfrica"
"Guinea-Bissau",1980,132.5,47.83,6.32,849886,114543576.3,"Africa","WesternAfrica"
"Guyana",1980,53.2,62.34,3.65,786614,623750409.3,"Americas","SouthAmerica"
"Haiti",1980,129.4,50.62,6.06,5688832,NA,"Americas","Caribbean"
"Honduras",1980,69.2,62.5,6.31,3635862,4047510519,"Americas","CentralAmerica"
"HongKongChina",1980,NA,74.93,1.97,5053684,60150325771,"Asia","EasternAsia"
"Hungary",1980,23.8,69.18,1.98,10759022,40376838404,"Europe","EasternEurope"
"Iceland",1980,7.8,76.92,2.31,228127,5161143800,"Europe","NorthernEurope"
"India",1980,114.3,55.1,4.68,697229745,161019450821,"Asia","SouthernAsia"
"Indonesia",1980,85.4,59.01,4.43,147490366,58821272859,"Asia","South-EasternAsia"
"Iran",1980,78.3,56.24,6.48,38668222,57286706115,"Asia","SouthernAsia"
"Iraq",1980,55,57.91,6.57,13653358,NA,"Asia","WesternAsia"
"Ireland",1980,12,73.66,3,3431078,NA,"Europe","NorthernEurope"
"Israel",1980,15.3,73.47,3.28,3744667,49858351835,"Asia","WesternAsia"
"Italy",1980,14.3,74.07,1.72,56336446,742716634590,"Europe","SouthernEurope"
"Jamaica",1980,32.9,73.82,3.73,2142438,5800931098,"Americas","Caribbean"
"Japan",1980,7.4,76.16,1.78,115912104,2688523162545,"Asia","EasternAsia"
"Jordan",1980,43.5,67.51,7.26,2280670,4212997005,"Asia","WesternAsia"
"Kazakhstan",1980,57.8,66.05,2.97,14918991,NA,"Asia","CentralAsia"
"Kenya",1980,69.4,59.96,7.46,16267906,7077581918,"Africa","EasternAfrica"
"Kiribati",1980,86.1,53.75,5.07,59340,41847584.9,"Oceania","Micronesia"
"SouthKorea",1980,12.3,66.15,2.52,37451085,128029123166,"Asia","EasternAsia"
"Kuwait",1980,29.6,73.58,5.52,1384342,NA,"Asia","WesternAsia"
"KyrgyzRepublic",1980,78.8,62.89,4.04,3627499,NA,"Asia","CentralAsia"
"Lao",1980,134.7,46.91,6.28,3252701,NA,"Asia","South-EasternAsia"
"Latvia",1980,19.4,69.23,1.94,2513397,8040771351,"Europe","NorthernEurope"
"Lebanon",1980,40.3,67.21,4,2605294,NA,"Asia","WesternAsia"
"Lesotho",1980,93.5,54.65,5.59,1307403,376654900.3,"Africa","SouthernAfrica"
"Liberia",1980,160.8,47.14,6.97,1892529,1311939203,"Africa","WesternAfrica"
"Libya",1980,57,68.13,7.77,3191304,NA,"Africa","NorthernAfrica"
"Lithuania",1980,18.1,70.78,2.06,3431933,NA,"Europe","NorthernEurope"
"Luxembourg",1980,11.2,72.42,1.46,364044,7649172559,"Europe","WesternEurope"
"MacaoChina",1980,NA,72.57,1.67,246236,NA,"Asia","EasternAsia"
"MacedoniaFYR",1980,52,69.08,2.57,1924194,NA,"Europe","SouthernEurope"
"Madagascar",1980,105.4,53.01,6.51,8746516,3098663596,"Africa","EasternAfrica"
"Malawi",1980,151.8,45.72,7.62,6163225,999776611.4,"Africa","EasternAfrica"
"Malaysia",1980,25.4,68.89,3.79,13833739,26414956134,"Asia","South-EasternAsia"
"Maldives",1980,106.8,56.58,7.07,158282,NA,"Asia","SouthernAsia"
"Mali",1980,161.2,42.45,7.05,7090125,1535983932,"Africa","WesternAfrica"
"Malta",1980,15,74.47,2.09,319898,1609765263,"Europe","SouthernEurope"
"Mauritania",1980,96.3,55.13,6.43,1534085,825463738.2,"Africa","WesternAfrica"
"Mauritius",1980,32.3,66.92,2.67,966036,1519348473,"Africa","EasternAfrica"
"Mexico",1980,56.1,67.09,4.71,69330974,345563280747,"Americas","CentralAmerica"
"MicronesiaFed.Sts.",1980,50,63.64,6.22,72967,NA,"Oceania","Micronesia"
"Moldova",1980,39.7,65.4,2.48,4009843,2804577459,"Europe","EasternEurope"
"Mongolia",1980,113.3,58.56,6.21,1689622,NA,"Asia","EasternAsia"
"Montenegro",1980,NA,73.16,2.27,580755,NA,"Europe","SouthernEurope"
"Morocco",1980,94,59.93,5.68,20071902,20086262401,"Africa","NorthernAfrica"
"Mozambique",1980,174.6,49.17,6.49,11936379,2462152427,"Africa","EasternAfrica"
"Namibia",1980,63.2,58.06,6.45,1012761,2292422012,"Africa","SouthernAfrica"
"Nepal",1980,140.3,50.32,5.76,14890080,2126201926,"Asia","SouthernAsia"
"Netherlands",1980,8.8,75.72,1.6,14103279,226172474359,"Europe","WesternEurope"
"NewCaledonia",1980,NA,67.09,3.55,141866,1416912105,"Oceania","Melanesia"
"NewZealand",1980,12.7,72.98,2.15,3146771,32457368889,"Oceania","AustraliaandNewZealand"
"Nicaragua",1980,77.8,65.83,6.13,3249910,3233459068,"Americas","CentralAmerica"
"Niger",1980,134.8,42,7.71,5963159,1523445073,"Africa","WesternAfrica"
"Nigeria",1980,127,51.95,6.78,73698096,31451738767,"Africa","WesternAfrica"
"Norway",1980,8.2,75.8,1.72,4082525,91232456676,"Europe","NorthernEurope"
"Oman",1980,79.4,63.7,8.3,1154375,5358105188,"Asia","WesternAsia"
"Pakistan",1980,122.1,58.79,6.54,78071984,27321293469,"Asia","SouthernAsia"
"Panama",1980,35.7,71.72,3.88,1978575,6191729852,"Americas","CentralAmerica"
"PapuaNewGuinea",1980,77.1,53.11,5.69,3215483,2079605041,"Oceania","Melanesia"
"Paraguay",1980,49.4,71.73,5.22,3180628,4509372596,"Americas","SouthAmerica"
"Peru",1980,82.4,62.59,5.01,17359118,39092384026,"Americas","SouthAmerica"
"Philippines",1980,53.2,64.06,5.18,47396966,51694932893,"Asia","South-EasternAsia"
"Poland",1980,21,70.4,2.31,35782855,NA,"Europe","EasternEurope"
"Portugal",1980,22.8,71.71,2.29,9755635,63592042134,"Europe","SouthernEurope"
"PuertoRico",1980,NA,73.47,2.61,3187704,28925715107,"Americas","Caribbean"
"Qatar",1980,29.7,72.14,5.81,223715,NA,"Asia","WesternAsia"
"Romania",1980,34.9,70.1,2.44,22612149,40945223260,"Europe","EasternEurope"
"Russia",1980,27.3,67.57,1.86,138063062,NA,"Europe","EasternEurope"
"Rwanda",1980,129.1,47.46,8.45,5140786,1368419410,"Africa","EasternAfrica"
"St.Lucia",1980,26.7,68.15,4.7,117984,267518285.4,"Americas","Caribbean"
"St.VincentandtheGrenadines",1980,45.2,67.19,3.99,100506,162531133.1,"Americas","Caribbean"
"Samoa",1980,55.6,63.2,6.2,155554,NA,"Oceania","Polynesia"
"SaudiArabia",1980,70.7,66.99,7.21,9912917,153723600651,"Asia","WesternAsia"
"Senegal",1980,91.7,49.42,7.38,5568651,2682655748,"Africa","WesternAfrica"
"Serbia",1980,NA,70.68,2.35,8908293,NA,"Europe","SouthernEurope"
"Seychelles",1980,25.3,68.4,3.85,66292,291858536.2,"Africa","EasternAfrica"
"SierraLeone",1980,167.3,52.04,7.06,3086406,928741740,"Africa","WesternAfrica"
"Singapore",1980,12,71.04,1.82,2414524,22830334872,"Asia","South-EasternAsia"
"SlovakRepublic",1980,20,70.58,2.37,4988654,NA,"Europe","EasternEurope"
"Slovenia",1980,16,70.89,2.04,1835839,NA,"Europe","SouthernEurope"
"SolomonIslands",1980,41.9,61.53,6.75,230614,NA,"Oceania","Melanesia"
"SouthAfrica",1980,68,56.85,4.79,29077143,95502508098,"Africa","SouthernAfrica"
"Spain",1980,15.3,75.53,2.22,37704867,329793884331,"Europe","SouthernEurope"
"SriLanka",1980,39.4,68.97,3.41,15036562,6515044619,"Asia","SouthernAsia"
"Sudan",1980,87.9,56.95,6.8,14418063,5525045073,"Africa","NorthernAfrica"
"Suriname",1980,40,67.71,3.92,362777,927624939,"Americas","SouthAmerica"
"Swaziland",1980,83.8,55.31,6.66,603373,470189234.8,"Africa","SouthernAfrica"
"Sweden",1980,7.2,75.74,1.68,8310915,161806496553,"Europe","NorthernEurope"
"Switzerland",1980,8.4,75.69,1.51,6303608,180443573548,"Europe","WesternEurope"
"Syria",1980,46.9,66.01,7.09,8956156,9481493126,"Asia","WesternAsia"
"Tajikistan",1980,100.4,64.28,5.66,3917642,NA,"Asia","CentralAsia"
"Tanzania",1980,108.9,54.29,6.65,18684893,NA,"Africa","EasternAfrica"
"Thailand",1980,47,64.62,3.39,47385325,37274986914,"Asia","South-EasternAsia"
"Timor-Leste",1980,NA,42.45,4.77,577580,NA,"Asia","South-EasternAsia"
"Togo",1980,106.9,53.87,7.21,2720838,938860827.4,"Africa","WesternAfrica"
"Tonga",1980,24.6,67.08,5.55,93007,NA,"Oceania","Polynesia"
"TrinidadandTobago",1980,34.3,67.89,3.28,1085308,7490962395,"Americas","Caribbean"
"Tunisia",1980,69.2,64.41,5.35,6368169,9544894532,"Africa","NorthernAfrica"
"Turkey",1980,90.2,61.74,4.36,43905790,112043265797,"Asia","WesternAsia"
"Turkmenistan",1980,96.5,61.9,5.01,2861000,NA,"Asia","CentralAsia"
"Uganda",1980,127.7,52.01,7.1,12547754,NA,"Africa","EasternAfrica"
"Ukraine",1980,23,69.33,1.98,49968811,NA,"Europe","EasternEurope"
"UnitedArabEmirates",1980,28.9,66.91,5.42,1016789,62370744063,"Asia","WesternAsia"
"UnitedKingdom",1980,12,73.57,1.73,56221513,844981955754,"Europe","NorthernEurope"
"UnitedStates",1980,12.6,73.93,1.82,229588208,5142219940671,"Americas","NorthernAmerica"
"Uruguay",1980,35.5,70.6,2.72,2915775,16377160977,"Americas","SouthAmerica"
"Uzbekistan",1980,91.8,66.25,5.13,15951899,NA,"Asia","CentralAsia"
"Vanuatu",1980,52,57.41,5.58,115634,123901258.8,"Oceania","Melanesia"
"Venezuela",1980,35.2,69.3,4.2,15343917,87831090370,"Americas","SouthAmerica"
"WestBankandGaza",1980,59.2,65.74,7.31,1509484,NA,"Asia","WesternAsia"
"Vietnam",1980,46.8,66.49,5.05,54372518,NA,"Asia","South-EasternAsia"
"Yemen",1980,139.7,51.13,8.99,8059381,NA,"Asia","WesternAsia"
"Zambia",1980,96.1,57.62,7.18,5929497,2729759075,"Africa","EasternAfrica"
"Zimbabwe",1980,66.4,62.48,7.1,7289083,3653884133,"Africa","EasternAfrica"
"Albania",1990,35.1,73.3,2.97,3281453,3216343088,"Europe","SouthernEurope"
"Algeria",1990,39.7,70.2,4.76,25912364,46366908062,"Africa","NorthernAfrica"
"Angola",1990,133.5,48.6,7.17,11127870,8463862899,"Africa","MiddleAfrica"
"AntiguaandBarbuda",1990,24,73.5,2.06,61906,588059029.5,"Americas","Caribbean"
"Argentina",1990,24.4,72.5,2.99,32729740,182208881977,"Americas","SouthAmerica"
"Armenia",1990,42.5,70.1,2.54,3544695,2819375629,"Asia","WesternAsia"
"Aruba",1990,NA,73.47,2.25,62148,1147728451,"Americas","Caribbean"
"Australia",1990,7.6,77,1.9,17096869,298651486073,"Oceania","AustraliaandNewZealand"
"Austria",1990,8,75.7,1.46,7706571,147353847860,"Europe","WesternEurope"
"Azerbaijan",1990,75.5,65.6,2.97,7216503,8954048116,"Asia","WesternAsia"
"Bahamas",1990,19.7,68.5,2.64,256338,5115006358,"Americas","Caribbean"
"Bahrain",1990,19.5,71.8,3.74,495944,4646905411,"Asia","WesternAsia"
"Bangladesh",1990,99.7,57.9,4.55,105983136,29489968538,"Asia","SouthernAsia"
"Barbados",1990,16,73,1.74,260374,2198255970,"Americas","Caribbean"
"Belarus",1990,13.5,70.5,1.89,10231983,14364231695,"Europe","EasternEurope"
"Belgium",1990,8.3,76,1.58,9978241,186769011525,"Europe","WesternEurope"
"Belize",1990,32.2,71.4,4.51,187552,468300000,"Americas","CentralAmerica"
"Benin",1990,108,56.1,6.74,5001271,1411814142,"Africa","WesternAfrica"
"Bhutan",1990,93.3,61.4,5.64,535505,259814622.2,"Asia","SouthernAsia"
"Bolivia",1990,85.6,61.6,4.91,6856246,5801025729,"Americas","SouthAmerica"
"BosniaandHerzegovina",1990,16.2,72.7,1.71,4526996,NA,"Europe","SouthernEurope"
"Botswana",1990,41.8,62.3,4.7,1379814,3228872988,"Africa","SouthernAfrica"
"Brazil",1990,50.9,67.9,2.81,150393143,501771963327,"Americas","SouthAmerica"
"Brunei",1990,9.4,73.8,3.53,256939,4809288783,"Asia","South-EasternAsia"
"Bulgaria",1990,18.4,71.4,1.77,8821111,14564231602,"Europe","EasternEurope"
"BurkinaFaso",1990,102.5,51.4,7.01,8811033,1555627403,"Africa","WesternAfrica"
"Burundi",1990,103.9,45.6,7.54,5613141,1019207023,"Africa","EasternAfrica"
"Cambodia",1990,85.4,57.6,5.62,9008856,NA,"Asia","South-EasternAsia"
"Cameroon",1990,85.6,58.4,6.43,12070359,8792662258,"Africa","MiddleAfrica"
"Canada",1990,6.8,77.4,1.72,27662440,543644188640,"Americas","NorthernAmerica"
"CapeVerde",1990,48.2,68.7,5.31,341256,280055742.5,"Africa","WesternAfrica"
"CentralAfricanRepublic",1990,115.3,48.4,5.78,2937832,814596168.9,"Africa","MiddleAfrica"
"Chad",1990,115.8,53.7,7.31,5958022,1105729319,"Africa","MiddleAfrica"
"Chile",1990,16,73.1,2.62,13141202,40455626742,"Americas","SouthAmerica"
"China",1990,42.1,66.7,2.43,1154605773,444598557323,"Asia","EasternAsia"
"Colombia",1990,28.9,71.5,3.1,34271563,77192529433,"Americas","SouthAmerica"
"Comoros",1990,87.9,57.1,5.57,415144,180930393.8,"Africa","EasternAfrica"
"CongoDem.Rep.",1990,119.8,54.5,7.13,34962676,7659464144,"Africa","MiddleAfrica"
"CongoRep.",1990,60.9,54.3,5.35,2386467,2795588292,"Africa","MiddleAfrica"
"CostaRica",1990,14.3,76.6,3.18,3095994,9578020684,"Americas","CentralAmerica"
"Coted'Ivoire",1990,104.9,55.3,6.36,12165909,8297553406,"Africa","WesternAfrica"
"Croatia",1990,11.2,72.6,1.67,4776374,25147844849,"Europe","SouthernEurope"
"Cuba",1990,10.6,74.7,1.75,10582082,35292053461,"Americas","Caribbean"
"Cyprus",1990,9.9,76.8,2.41,766611,6194334045,"Asia","WesternAsia"
"CzechRepublic",1990,12.7,71.8,1.82,10323701,56341410900,"Europe","EasternEurope"
"Denmark",1990,7.3,75.1,1.67,5140332,123885874634,"Europe","NorthernEurope"
"Djibouti",1990,92.7,61,6.09,588356,660030923.3,"Africa","EasternAfrica"
"DominicanRepublic",1990,46.5,71.8,3.47,7183646,13315132485,"Americas","Caribbean"
"Ecuador",1990,44.2,71.2,3.77,10218085,13330669595,"Americas","SouthAmerica"
"Egypt",1990,63,65.2,4.35,56397273,65579206064,"Africa","NorthernAfrica"
"ElSalvador",1990,45.9,67.7,3.95,5252082,8372810075,"Americas","CentralAmerica"
"EquatorialGuinea",1990,127.9,48.9,5.9,377363,207499790.5,"Africa","MiddleAfrica"
"Eritrea",1990,93,52.4,6.49,3139083,NA,"Africa","EasternAfrica"
"Estonia",1990,16.5,70.1,1.94,1565320,NA,"Europe","NorthernEurope"
"Ethiopia",1990,121.6,45.2,7.25,48057094,6233682738,"Africa","EasternAfrica"
"Fiji",1990,24.8,65.1,3.4,728626,1335273159,"Oceania","Melanesia"
"Finland",1990,5.5,75.1,1.79,4986705,99334807444,"Europe","NorthernEurope"
"France",1990,7.4,77.2,1.75,56943299,1091598599817,"Europe","WesternEurope"
"FrenchPolynesia",1990,NA,68.7,3.4,198370,2735999899,"Oceania","Polynesia"
"Gabon",1990,60.5,59.5,5.42,952269,4298461126,"Africa","MiddleAfrica"
"Gambia",1990,80,61.3,6.11,916811,569165684,"Africa","WesternAfrica"
"Georgia",1990,40.8,69.9,2.18,5460309,8151514860,"Asia","WesternAsia"
"Germany",1990,7,75.4,1.36,78958237,1556954345661,"Europe","WesternEurope"
"Ghana",1990,79.8,58,5.62,14628260,3266886838,"Africa","WesternAfrica"
"Greece",1990,11.3,77,1.42,10131737,98705787677,"Europe","SouthernEurope"
"Greenland",1990,NA,64.6,2.44,55603,895894062.2,"Americas","NorthernAmerica"
"Grenada",1990,18,69.9,3.84,96286,345669990.4,"Americas","Caribbean"
"Guatemala",1990,59.8,64.6,5.58,9158547,12887760529,"Americas","CentralAmerica"
"Guinea",1990,140.8,52,6.58,6034082,2088265560,"Africa","WesternAfrica"
"Guinea-Bissau",1990,135.5,51.5,6.65,1056208,186134859.4,"Africa","WesternAfrica"
"Guyana",1990,46.6,64.2,2.47,720282,442145871.9,"Americas","SouthAmerica"
"Haiti",1990,101,54.3,5.43,7099733,NA,"Americas","Caribbean"
"Honduras",1990,45.1,70.3,5.14,4903363,5142508463,"Americas","CentralAmerica"
"HongKongChina",1990,NA,77.52,1.3,5794034,115162785888,"Asia","EasternAsia"
"Hungary",1990,16.9,69.5,1.83,10385061,45217146353,"Europe","EasternEurope"
"Iceland",1990,5.1,78.3,2.16,254830,6763118968,"Europe","NorthernEurope"
"India",1990,88.3,58.2,3.88,870601776,276490686996,"Asia","SouthernAsia"
"Indonesia",1990,62.2,64,3.12,181436821,109150506063,"Asia","South-EasternAsia"
"Iran",1990,44.6,66,4.82,56169196,70293760715,"Asia","SouthernAsia"
"Iraq",1990,42.3,65.7,5.88,17478455,NA,"Asia","WesternAsia"
"Ireland",1990,7.7,76.3,2,3563106,NA,"Europe","NorthernEurope"
"Israel",1990,9.7,76.7,3,4499161,71217325346,"Asia","WesternAsia"
"Italy",1990,8.3,77,1.3,57007577,942151611270,"Europe","SouthernEurope"
"Jamaica",1990,25.4,74.8,2.95,2385806,7550876535,"Americas","Caribbean"
"Japan",1990,4.6,79,1.57,122249285,4229500970111,"Asia","EasternAsia"
"Jordan",1990,30,71.5,5.54,3358453,5128680653,"Asia","WesternAsia"
"Kazakhstan",1990,44.7,68,2.84,16530027,26348276737,"Asia","CentralAsia"
"Kenya",1990,65.8,61.8,6.04,23446229,10543568372,"Africa","EasternAfrica"
"Kiribati",1990,69.4,58,4.63,72411,48154992.03,"Oceania","Micronesia"
